id_cuenta,monto_deuda,dias_mora,cuotas_atrasadas,antiguedad_cliente_meses,score_buro,ingreso_estimado,pagos_ultimos_12m,promesas_cumplidas,promesas_incumplidas,contactabilidad,gestiones_previas,segmento,producto,departamento,canal_preferido
AC-00001,231530.0,13,1,175,576,37300.0,7,0,0,0.749,6,Pyme,Tarjeta de crédito,Cerro Largo,Llamada
AC-00002,20240.0,62,2,67,640,82500.0,6,0,2,0.598,3,Retail,Microcrédito,Paysandú,Email
AC-00003,65440.0,28,1,21,447,75600.0,6,2,0,0.547,2,Pyme,Microcrédito,Canelones,WhatsApp
AC-00004,179960.0,26,1,146,473,36300.0,4,5,1,0.565,3,Pyme,Tarjeta de crédito,San José,WhatsApp
AC-00005,1739840.0,132,5,129,438,39600.0,3,4,0,0.252,6,Corporativo,Microcrédito,Montevideo,WhatsApp
AC-00006,74930.0,202,7,31,439,35800.0,3,2,0,0.825,8,Retail,Tarjeta de crédito,Montevideo,Email
AC-00007,19140.0,28,1,119,789,47700.0,3,0,1,0.732,4,Retail,Tarjeta de crédito,Montevideo,SMS
AC-00008,30360.0,111,4,160,544,51900.0,6,0,1,0.836,4,Retail,Tarjeta de crédito,Flores,WhatsApp
AC-00009,732210.0,34,1,24,643,14400.0,7,2,2,0.758,4,Corporativo,Tarjeta de crédito,Montevideo,Llamada
AC-00010,156720.0,24,1,168,522,19800.0,2,1,1,0.555,5,Retail,Préstamo personal,Canelones,Llamada
AC-00011,12480.0,133,4,19,407,36200.0,4,0,0,0.264,1,Retail,Préstamo personal,Montevideo,WhatsApp
AC-00012,34410.0,23,1,157,466,52800.0,5,0,1,0.799,2,Retail,Microcrédito,Montevideo,Email
AC-00013,566490.0,87,2,25,527,48200.0,6,0,0,0.266,4,Corporativo,Cuenta corriente,San José,SMS
AC-00014,91190.0,153,5,144,521,46000.0,5,3,1,0.215,9,Retail,Tarjeta de crédito,Canelones,Llamada
AC-00015,33290.0,159,6,144,770,14300.0,2,2,3,0.536,5,Retail,Tarjeta de crédito,Canelones,SMS
AC-00016,15130.0,160,5,86,561,92100.0,6,3,2,0.205,7,Retail,Microcrédito,Canelones,Email
AC-00017,1071020.0,79,2,6,468,40200.0,5,0,2,0.127,6,Corporativo,Crédito automotor,Salto,WhatsApp
AC-00018,14970.0,29,1,132,444,36400.0,5,1,1,0.472,5,Retail,Microcrédito,Maldonado,WhatsApp
AC-00019,21330.0,82,2,27,542,53700.0,3,0,2,0.602,4,Retail,Tarjeta de crédito,Colonia,WhatsApp
AC-00020,20230.0,115,4,117,640,36800.0,11,3,1,0.643,3,Retail,Tarjeta de crédito,Canelones,WhatsApp
AC-00021,32990.0,57,1,28,466,19400.0,9,4,1,0.438,7,Pyme,Préstamo personal,Tacuarembó,WhatsApp
AC-00022,13920.0,110,4,8,356,63000.0,5,5,3,0.345,10,Retail,Tarjeta de crédito,Montevideo,Llamada
AC-00023,27880.0,30,1,61,656,40600.0,4,2,3,0.805,7,Retail,Tarjeta de crédito,Durazno,WhatsApp
AC-00024,133150.0,116,3,135,504,17900.0,7,3,4,0.219,1,Pyme,Financiación retail,Treinta y Tres,Llamada
AC-00025,193120.0,1,1,112,502,45100.0,6,2,0,0.99,3,Pyme,Cuenta corriente,Paysandú,SMS
AC-00026,43890.0,73,2,25,639,17100.0,5,2,0,0.395,6,Retail,Tarjeta de crédito,Paysandú,SMS
AC-00027,4470.0,51,1,117,467,21500.0,7,5,5,0.708,4,Retail,Financiación retail,Canelones,WhatsApp
AC-00028,13700.0,27,1,93,704,38800.0,3,2,0,0.542,1,Retail,Préstamo personal,Montevideo,WhatsApp
AC-00029,9010.0,64,3,140,427,42100.0,5,1,0,0.356,2,Retail,Tarjeta de crédito,Canelones,WhatsApp
AC-00030,8660.0,76,2,44,714,25300.0,3,2,2,0.495,7,Retail,Préstamo personal,Montevideo,WhatsApp
AC-00031,7720.0,11,1,30,393,111900.0,5,4,0,0.604,1,Retail,Préstamo personal,Montevideo,WhatsApp
AC-00032,27750.0,82,3,112,540,29400.0,4,0,0,0.73,6,Retail,Préstamo personal,Artigas,Email
AC-00033,17950.0,74,3,74,478,52600.0,5,5,1,0.17,8,Retail,Tarjeta de crédito,Montevideo,SMS
AC-00034,474450.0,6,1,176,564,116400.0,9,2,1,0.657,4,Pyme,Préstamo personal,Montevideo,Email
AC-00035,20230.0,128,5,47,596,25500.0,5,1,4,0.567,5,Retail,Préstamo personal,Montevideo,WhatsApp
AC-00036,14710.0,49,1,67,610,46900.0,5,2,1,0.639,5,Retail,Cuenta corriente,Maldonado,Llamada
AC-00037,29240.0,146,5,93,804,40400.0,4,5,0,0.609,2,Retail,Préstamo personal,Florida,WhatsApp
AC-00038,32940.0,36,1,34,250,54800.0,5,5,3,0.867,3,Retail,Crédito automotor,Canelones,SMS
AC-00039,22070.0,43,2,71,640,25600.0,8,5,0,0.319,8,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00040,210870.0,32,1,62,506,62900.0,5,5,0,0.489,3,Pyme,Tarjeta de crédito,Durazno,WhatsApp
AC-00041,35840.0,52,1,126,512,13400.0,6,3,2,0.71,5,Retail,Crédito automotor,Durazno,WhatsApp
AC-00042,176740.0,46,2,137,877,20800.0,6,3,1,0.558,5,Corporativo,Cuenta corriente,Río Negro,WhatsApp
AC-00043,192230.0,51,1,176,591,40800.0,6,0,1,0.709,7,Retail,Préstamo personal,Canelones,Llamada
AC-00044,43940.0,104,4,148,729,70400.0,7,1,0,0.612,0,Retail,Crédito automotor,Montevideo,WhatsApp
AC-00045,25110.0,23,1,155,443,38400.0,6,3,1,0.224,2,Retail,Crédito automotor,Tacuarembó,WhatsApp
AC-00046,52780.0,19,1,117,650,47100.0,9,2,1,0.522,3,Retail,Cuenta corriente,Montevideo,Email
AC-00047,36030.0,26,1,101,455,62800.0,0,0,2,0.557,3,Retail,Tarjeta de crédito,Montevideo,WhatsApp
AC-00048,12830.0,13,1,76,614,41900.0,4,2,1,0.558,2,Retail,Crédito automotor,Montevideo,WhatsApp
AC-00049,66400.0,123,4,179,442,59200.0,8,4,1,0.621,4,Retail,Cuenta corriente,San José,WhatsApp
AC-00050,95110.0,24,1,81,757,28600.0,5,1,1,0.727,7,Pyme,Financiación retail,Florida,SMS
AC-00051,314970.0,40,2,101,531,85500.0,3,3,1,0.934,2,Corporativo,Tarjeta de crédito,Montevideo,Email
AC-00052,16930.0,90,4,107,566,14100.0,8,5,2,0.871,2,Retail,Financiación retail,Rocha,Llamada
AC-00053,131010.0,25,1,94,353,41400.0,4,1,1,0.702,4,Pyme,Tarjeta de crédito,Maldonado,Llamada
AC-00054,1232230.0,235,8,9,633,21800.0,2,4,3,0.608,7,Corporativo,Préstamo personal,Colonia,Email
AC-00055,146040.0,121,4,98,597,99800.0,5,4,3,0.422,4,Pyme,Financiación retail,Montevideo,SMS
AC-00056,19070.0,20,1,102,593,63500.0,7,2,2,0.548,2,Retail,Préstamo personal,Montevideo,Llamada
AC-00057,45340.0,250,9,34,447,18000.0,5,4,2,0.852,10,Retail,Préstamo personal,Paysandú,WhatsApp
AC-00058,157590.0,73,3,91,392,21000.0,5,1,1,0.289,2,Pyme,Financiación retail,Montevideo,Llamada
AC-00059,220230.0,62,3,27,583,31600.0,4,1,3,0.446,3,Pyme,Microcrédito,Montevideo,WhatsApp
AC-00060,39490.0,83,2,67,341,49800.0,11,3,1,0.6,3,Retail,Préstamo personal,Montevideo,Email
AC-00061,1150760.0,91,3,48,737,38900.0,4,4,3,0.408,4,Corporativo,Cuenta corriente,Artigas,Llamada
AC-00062,30130.0,48,2,78,563,39300.0,4,3,1,0.782,3,Retail,Préstamo personal,Rocha,Email
AC-00063,10190.0,96,3,115,465,54600.0,6,2,0,0.48,6,Retail,Préstamo personal,Montevideo,WhatsApp
AC-00064,109180.0,14,1,7,635,45500.0,6,5,0,0.441,5,Corporativo,Tarjeta de crédito,Montevideo,Email
AC-00065,75460.0,22,1,43,566,41500.0,8,2,4,0.567,3,Pyme,Cuenta corriente,San José,Email
AC-00066,121550.0,63,3,138,350,76400.0,4,1,1,0.673,2,Pyme,Tarjeta de crédito,Río Negro,SMS
AC-00067,71290.0,44,2,96,499,163700.0,5,5,1,0.617,5,Pyme,Préstamo personal,Soriano,SMS
AC-00068,162020.0,13,1,22,473,127700.0,5,2,1,0.332,3,Corporativo,Tarjeta de crédito,Montevideo,Email
AC-00069,10740.0,61,3,154,484,52700.0,6,2,2,0.572,4,Retail,Préstamo personal,Tacuarembó,WhatsApp
