id_deudor,segmento,producto,departamento,monto_deuda,dias_mora,cuotas_atrasadas,antiguedad_cliente_meses,score_buro,ingreso_estimado,pagos_ultimos_12m,promesas_cumplidas,promesas_incumplidas,contactabilidad,gestiones_previas,canal_preferido,pago,tramo_mora
KB-100000,Pyme,Tarjeta de crédito,Cerro Largo,231530.0,13,1,175,576,37300.0,7,0,0,0.749,6,Llamada,1,1-30
KB-100001,Retail,Microcrédito,Paysandú,20240.0,62,2,67,640,82500.0,6,0,2,0.598,3,Email,1,61-90
KB-100002,Pyme,Microcrédito,Canelones,65440.0,28,1,21,447,75600.0,6,2,0,0.547,2,WhatsApp,1,1-30
KB-100003,Pyme,Tarjeta de crédito,San José,179960.0,26,1,146,473,36300.0,4,5,1,0.565,3,WhatsApp,0,1-30
KB-100004,Corporativo,Microcrédito,Montevideo,1739840.0,132,5,129,438,39600.0,3,4,0,0.252,6,WhatsApp,1,91-180
KB-100005,Retail,Tarjeta de crédito,Montevideo,74930.0,202,7,31,439,35800.0,3,2,0,0.825,8,Email,0,180+
KB-100006,Retail,Tarjeta de crédito,Montevideo,19140.0,28,1,119,789,47700.0,3,0,1,0.732,4,SMS,1,1-30
KB-100007,Retail,Tarjeta de crédito,Flores,30360.0,111,4,160,544,51900.0,6,0,1,0.836,4,WhatsApp,0,91-180
KB-100008,Corporativo,Tarjeta de crédito,Montevideo,732210.0,34,1,24,643,14400.0,7,2,2,0.758,4,Llamada,1,31-60
KB-100009,Retail,Préstamo personal,Canelones,156720.0,24,1,168,522,19800.0,2,1,1,0.555,5,Llamada,0,1-30
KB-100010,Retail,Préstamo personal,Montevideo,12480.0,133,4,19,407,36200.0,4,0,0,0.264,1,WhatsApp,1,91-180
KB-100011,Retail,Microcrédito,Montevideo,34410.0,23,1,157,466,52800.0,5,0,1,0.799,2,Email,0,1-30
KB-100012,Corporativo,Cuenta corriente,San José,566490.0,87,2,25,527,48200.0,6,0,0,0.266,4,SMS,0,61-90
KB-100013,Retail,Tarjeta de crédito,Canelones,91190.0,153,5,144,521,46000.0,5,3,1,0.215,9,Llamada,1,91-180
KB-100014,Retail,Tarjeta de crédito,Canelones,33290.0,159,6,144,770,14300.0,2,2,3,0.536,5,SMS,1,91-180
KB-100015,Retail,Microcrédito,Canelones,15130.0,160,5,86,561,92100.0,6,3,2,0.205,7,Email,1,91-180
KB-100016,Corporativo,Crédito automotor,Salto,1071020.0,79,2,6,468,40200.0,5,0,2,0.127,6,WhatsApp,0,61-90
KB-100017,Retail,Microcrédito,Maldonado,14970.0,29,1,132,444,36400.0,5,1,1,0.472,5,WhatsApp,0,1-30
KB-100018,Retail,Tarjeta de crédito,Colonia,21330.0,82,2,27,542,53700.0,3,0,2,0.602,4,WhatsApp,0,61-90
KB-100019,Retail,Tarjeta de crédito,Canelones,20230.0,115,4,117,640,36800.0,11,3,1,0.643,3,WhatsApp,1,91-180
KB-100020,Pyme,Préstamo personal,Tacuarembó,32990.0,57,1,28,466,19400.0,9,4,1,0.438,7,WhatsApp,0,31-60
KB-100021,Retail,Tarjeta de crédito,Montevideo,13920.0,110,4,8,356,63000.0,5,5,3,0.345,10,Llamada,0,91-180
KB-100022,Retail,Tarjeta de crédito,Durazno,27880.0,30,1,61,656,40600.0,4,2,3,0.805,7,WhatsApp,1,1-30
KB-100023,Pyme,Financiación retail,Treinta y Tres,133150.0,116,3,135,504,17900.0,7,3,4,0.219,1,Llamada,0,91-180
KB-100024,Pyme,Cuenta corriente,Paysandú,193120.0,1,1,112,502,45100.0,6,2,0,0.99,3,SMS,1,1-30
KB-100025,Retail,Tarjeta de crédito,Paysandú,43890.0,73,2,25,639,17100.0,5,2,0,0.395,6,SMS,1,61-90
