id_gestion,gestor_id,gestor,tipo_gestor,mes,fecha_gestion,id_deudor,documento,segmento,producto,departamento,tramo_mora,canal,usa_kobra,calidad_gestion,sentimiento_cliente,emocion_dominante,tecnicas_usadas,resultado,fecha_compromiso,fecha_pago,monto_gestionado,monto_acordado,cuotas,descuento,recupero,notas
GE-0000001,G01,Gestor 01,Humano,2025-08,2025-08-21,KB-102311,,Corporativo,Tarjeta de crédito,Colonia,31-60,Llamada,False,61.7,-0.033,objecion,3,Promesa,2025-08-26,,1074270.0,1074270.0,2,0.0,628629.0,Arreglo de pago acordado; enviar comprobante.
GE-0000002,G01,Gestor 01,Humano,2025-08,2025-08-29,KB-108954,,Pyme,Préstamo personal,Canelones,91-180,Llamada,False,64.0,-0.39,frustracion,2,Pago,,2025-08-29,71410.0,71410.0,1,0.0,54049.0,Abonó el total de la deuda.
GE-0000003,G01,Gestor 01,Humano,2025-08,2025-08-04,KB-107693,,Retail,Microcrédito,Paysandú,61-90,WhatsApp,False,57.5,-0.057,ansiedad,3,Promesa,2025-08-09,,36170.0,36170.0,5,0.0,21206.0,Arreglo de pago acordado; enviar comprobante.
GE-0000004,G01,Gestor 01,Humano,2025-08,2025-08-24,KB-104869,,Corporativo,Crédito automotor,Montevideo,91-180,WhatsApp,False,71.5,-0.191,dificultad_economica,4,Pago,,2025-08-24,509140.0,407312.0,1,0.2,437570.0,Abonó el total de la deuda.
GE-0000005,G01,Gestor 01,Humano,2025-08,2025-08-01,KB-104166,,Retail,Préstamo personal,Montevideo,61-90,WhatsApp,False,66.6,0.275,neutro,3,Pago,,2025-08-01,28250.0,28250.0,1,0.0,23080.0,Abonó el total de la deuda.
GE-0000006,G01,Gestor 01,Humano,2025-08,2025-08-18,KB-103723,,Pyme,Tarjeta de crédito,Salto,61-90,Llamada,False,71.4,0.133,objecion,2,Pago,,2025-08-18,50370.0,40296.0,1,0.2,33376.0,Abonó el total de la deuda.
GE-0000007,G01,Gestor 01,Humano,2025-08,2025-08-04,KB-111284,,Pyme,Tarjeta de crédito,Montevideo,1-30,Llamada,False,69.8,0.373,intencion_pago,2,Sin acuerdo,,,147490.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000008,G01,Gestor 01,Humano,2025-08,2025-08-15,KB-111020,,Retail,Microcrédito,Cerro Largo,31-60,Llamada,False,88.1,-0.378,frustracion,2,Pago,,2025-08-15,21410.0,21410.0,1,0.0,18575.0,Abonó el total de la deuda.
GE-0000009,G01,Gestor 01,Humano,2025-08,2025-08-04,KB-102361,,Corporativo,Cuenta corriente,Canelones,61-90,Llamada,False,63.6,-0.363,frustracion,3,Sin acuerdo,,,173200.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000010,G01,Gestor 01,Humano,2025-08,2025-08-01,KB-101057,,Corporativo,Financiación retail,Canelones,91-180,WhatsApp,False,64.3,-0.563,enojo,4,No contactado,,,397020.0,0.0,0,0.0,0.0,No se logró contacto.
GE-0000011,G01,Gestor 01,Humano,2025-08,2025-08-08,KB-100683,,Retail,Tarjeta de crédito,Montevideo,1-30,WhatsApp,False,81.8,0.109,objecion,3,Sin acuerdo,,,21960.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000012,G01,Gestor 01,Humano,2025-08,2025-08-30,KB-100017,,Retail,Microcrédito,Maldonado,1-30,Llamada,False,64.4,-0.324,frustracion,3,Sin acuerdo,,,14970.0,0.0,0,0.0,0.0,No aceptó la propuesta; reintentar.
GE-0000013,G01,Gestor 01,Humano,2025-08,2025-08-20,KB-103671,,Retail,Microcrédito,Montevideo,180+,WhatsApp,False,77.4,-0.027,objecion,4,Promesa,2025-08-25,,40510.0,36459.0,2,0.1,12473.0,Arreglo de pago acordado; enviar comprobante.
