id_deudor,segmento,producto,departamento,tramo_mora,dias_mora,monto_deuda,score_buro,contactabilidad,probpago,decil,segmento_propension,estrategia,descuento_recomendado,plan_cuotas,canal_recomendado,valor_esperado_recupero,prioridad,pago,guion
KB-100000,Pyme,Tarjeta de crédito,Cerro Largo,1-30,13,231530.0,576,0.749,0.8679,8,Alta,Recordatorio suave,0.0,1,Llamada,200944.9513,831,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 231,530 (ref. KB-100000). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100001,Retail,Microcrédito,Paysandú,61-90,62,20240.0,640,0.598,0.722,6,Alta,Pago total facilitado,0.05,1,Email,13883.3858,7433,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 20,240. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 19,228. ¿Coordinamos el pago?"
KB-100002,Pyme,Microcrédito,Canelones,1-30,28,65440.0,447,0.547,0.6979,6,Alta,Recordatorio suave,0.0,1,WhatsApp,45673.0792,3359,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 65,440 (ref. KB-100002). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100003,Pyme,Tarjeta de crédito,San José,1-30,26,179960.0,473,0.565,0.6881,6,Alta,Recordatorio suave,0.0,1,WhatsApp,123827.4753,1360,0,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 179,960 (ref. KB-100003). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100004,Corporativo,Microcrédito,Montevideo,91-180,132,1739840.0,438,0.252,0.2107,3,Baja,Derivación a gestión especializada,0.15,12,Llamada,311625.8832,527,1,"Hola, le escribimos de su gestor de cobranzas. Su caso (ref. KB-100004, saldo $U 1,739,840) fue asignado a un gestor especializado que puede estructurar un plan de hasta 12 cuotas. Le contactaremos para encontrar la mejor solución."
KB-100005,Retail,Tarjeta de crédito,Montevideo,180+,202,74930.0,439,0.825,0.0826,1,Baja,Descuento máximo / cierre de cuenta,0.45,1,Email,3404.4912,10410,0,"Hola, le escribimos de su gestor de cobranzas. Tenemos una oferta especial de cierre: pagando hoy $U 41,212 (45% de descuento sobre $U 74,930) cancela toda su deuda. Es por tiempo limitado."
KB-100006,Retail,Tarjeta de crédito,Montevideo,1-30,28,19140.0,789,0.732,0.9616,10,Alta,Recordatorio suave,0.0,1,SMS,18405.6064,6469,1,"Hola, le escribimos de su gestor de cobranzas. Notamos un saldo pendiente de $U 19,140 (ref. KB-100006). Regularizando hoy evita costos adicionales. ¿Le enviamos el link de pago?"
KB-100007,Retail,Tarjeta de crédito,Flores,91-180,111,30360.0,544,0.836,0.3782,4,Media,Plan de cuotas + quita moderada,0.2,6,WhatsApp,9186.4371,8593,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 30,360 en 6 cuotas de $U 4,048 con 20% de descuento. ¿Le queda cómodo comenzar este mes?"
KB-100008,Corporativo,Tarjeta de crédito,Montevideo,31-60,34,732210.0,643,0.758,0.6605,5,Alta,Pago total facilitado,0.05,1,Llamada,459465.6094,349,1,"Hola, le escribimos de su gestor de cobranzas. Tiene un saldo de $U 732,210. Por pago de contado hoy le aplicamos un beneficio del 5%, quedando en $U 695,600. ¿Coordinamos el pago?"
KB-100009,Retail,Préstamo personal,Canelones,1-30,24,156720.0,522,0.555,0.5719,5,Media,Plan de cuotas,0.1,3,Llamada,80667.175,2064,0,"Hola, le escribimos de su gestor de cobranzas. Le ofrecemos regularizar su saldo de $U 156,720 en 3 cuotas de $U 47,016 con 10% de descuento. ¿Le queda cómodo comenzar este mes?"
